gene_symbol	inheritance_class	LOEUF	missense	geneIds
MTAP	Dom	1.39	-0.0176	ENSG00000099810
SQSTM1	Dom	0.802	-0.94	ENSG00000161011
TP53	Dom	0.469	0.983	ENSG00000141510
EPCAM	Dom	1.16	-1.43	ENSG00000119888
MLH1	Dom	0.575	-0.304	ENSG00000076242
MSH2	Dom	0.334	-2.45	ENSG00000095002
MSH6	Dom	0.498	-2.78	ENSG00000116062
PMS2	Dom	1.27	-0.557	ENSG00000122512
BRCA1	Dom	0.915	0.582	ENSG00000012048
BRCA2	Dom	0.635	-1.29	ENSG00000139618
BRIP1	Dom	0.786	1.2	ENSG00000136492
RAD51C	Dom	1.49	0.126	ENSG00000108384
RAD51D	Dom	1.22	-0.112	ENSG00000185379
CDKN2A	Dom	0.949	-1.01	ENSG00000147889
PALB2	Dom	1.01	0.276	ENSG00000083093
APC	Dom	0.161	0.168	ENSG00000134982
BMPR1A	Dom	0.355	1.92	ENSG00000107779
MUTYH	recessive	1.19	-0.207	ENSG00000132781
NTHL1	recessive	1.6	-0.797	ENSG00000065057
POLE	Dom	0.64	1.07	ENSG00000177084
STK11	Dom	0.245	1.6	ENSG00000118046
ANKRD26	Dom	0.733	-0.396	ENSG00000107890
CEBPA	Dom	1.18	0.568	ENSG00000245848
DDX41	Dom	0.736	2.28	ENSG00000183258
ETV6	Dom	0.318	1.78	ENSG00000139083
RUNX1	Dom	0.438	2	ENSG00000159216
TERT	Dom	0.293	4.88	ENSG00000164362
PDGFRA	Dom	0.169	1.94	ENSG00000134853
SDHB	Dom	0.825	-0.102	ENSG00000117118
SDHC	Dom	1.26	0.825	ENSG00000143252
SDHD	Dom	0.731	-0.166	ENSG00000204370
BAP1	Dom	0.277	2.64	ENSG00000163930
FH	Dom	0.544	1.27	ENSG00000091483
FLCN	Dom	0.388	1.13	ENSG00000154803
MET	Dom	0.305	1.92	ENSG00000105976
VHL	Dom	0.927	-0.395	ENSG00000134086
CALM1	Dom	0.327	3.05	ENSG00000198668
CALM2	Dom	0.368	2.79	ENSG00000143933
CALM3	Dom	0.357	2.98	ENSG00000160014
CASQ2	recessive	1.38	-0.195	ENSG00000118729
RYR2	Dom	0.25	5.78	ENSG00000198626
TRDN	recessive	1.02	-0.077	ENSG00000186439
LDLR	Dom	1.13	0.124	ENSG00000130164
LDLRAP1	recessive	1.16	-0.201	ENSG00000157978
PCSK9	Dom	1.34	0.272	ENSG00000169174
SCN5A	Dom	0.308	2.75	ENSG00000183873
DES	Dom	0.596	1.77	ENSG00000175084
DES	recessive	0.596	1.77	ENSG00000175084
EMD	recessive	0.35	-0.165	ENSG00000102119
GLA	recessive	0.177	1.88	ENSG00000102393
HCN4	Dom	0.239	2.75	ENSG00000138622
LMNA	Dom	0.209	2.37	ENSG00000160789
TNNI3K	Dom	1.43	-0.553	ENSG00000116783
TTR	Dom	0.763	1.01	ENSG00000118271
POLH	recessive	0.836	0.817	ENSG00000170734
CIB1	recessive	1.15	0.0612	ENSG00000185043
TMC6	recessive	0.753	0.231	ENSG00000141524
TMC8	recessive	1.12	0.566	ENSG00000167895
CAST	recessive	0.782	-0.384	ENSG00000153113
CDSN	recessive	0.629	1.01	ENSG00000204539
COL17A1	recessive	0.75	-0.748	ENSG00000065618
COL7A1	Dom	0.595	1.59	ENSG00000114270
COL7A1	recessive	0.595	1.59	ENSG00000114270
DST	recessive	0.18	2.22	ENSG00000151914
FLG2	recessive	1.92	-1.19	ENSG00000143520
ITGA6	recessive	0.529	1.65	ENSG00000091409
ITGB4	recessive	0.648	0.374	ENSG00000132470
JUP	recessive	0.587	1.32	ENSG00000173801
KLHL24	Dom	0.65	2.88	ENSG00000114796
KRT14	recessive	0.846	0.835	ENSG00000186847
KRT5	Dom	0.441	0.226	ENSG00000186081
PKP1	recessive	0.563	-0.32	ENSG00000081277
PLEC	Dom	0.392	-2.57	ENSG00000178209
PLEC	recessive	0.392	-2.57	ENSG00000178209
SERPINB8	recessive	1.41	-0.95	ENSG00000166401
TGM5	recessive	1.44	-0.316	ENSG00000104055
CARD11	Dom	0.227	3.54	ENSG00000198286
CARD14	Dom	0.995	0.608	ENSG00000141527
CARD9	recessive	1.13	0.0997	ENSG00000187796
FDPS	Dom	0.628	1.09	ENSG00000160752
GJB3	Dom	1.32	-0.526	ENSG00000188910
GJB3	recessive	1.32	-0.526	ENSG00000188910
GJB4	Dom	1.74	-0.637	ENSG00000189433
IL1RN	recessive	0.907	0.00812	ENSG00000136689
IL36RN	recessive	1.9	-0.427	ENSG00000136695
MVD	Dom	1.7	-0.363	ENSG00000167508
NCSTN	Dom	0.234	1.43	ENSG00000162736
NLRP3	Dom	0.519	2.14	ENSG00000162711
PSENEN	Dom	0.439	0.644	ENSG00000205155
RAG1	recessive	0.736	0.581	ENSG00000166349
RAG2	recessive	0.792	0.197	ENSG00000175097
SAMHD1	recessive	0.938	1.55	ENSG00000101347
STAT3	Dom	0.095	4.99	ENSG00000168610
TREX1	Dom	0.694	-0.821	ENSG00000213689
CYLD	Dom	0.204	3.55	ENSG00000083799
ABCA12	recessive	0.478	1.63	ENSG00000144452
ALOX12B	recessive	0.552	1.4	ENSG00000179477
ALOXE3	recessive	1.06	0.149	ENSG00000179148
AQP5	Dom	1.06	0.376	ENSG00000161798
CERS3	recessive	0.627	0.613	ENSG00000154227
CLDN1	recessive	1.18	0.0323	ENSG00000163347
CYP4F22	recessive	0.783	0.402	ENSG00000171954
DSC2	recessive	0.689	0.373	ENSG00000134755
DSP	Dom	0.26	0.595	ENSG00000096696
DSP	recessive	0.26	0.595	ENSG00000096696
ENPP1	Dom	0.586	1.62	ENSG00000197594
FLG	Dom	1.96	-18.5	ENSG00000143631
GJB2	Dom	1.98	-0.72	ENSG00000165474
GJB6	Dom	1.74	0.453	ENSG00000121742
KDSR	recessive	0.578	0.938	ENSG00000119537
KRT1	Dom	0.399	0.252	ENSG00000167768
KRT10	Dom	0.622	0.253	ENSG00000186395
KRT16	Dom	1.61	-0.313	ENSG00000186832
KRT6A	Dom	0.843	-0.948	ENSG00000205420
KRT6B	Dom	1.27	-2.23	ENSG00000185479
KRT6C	Dom	1.85	-1.19	ENSG00000170465
NIPAL4	recessive	0.884	1.21	ENSG00000172548
PNPLA1	recessive	0.748	0.734	ENSG00000180316
RSPO1	recessive	1.4	0.647	ENSG00000169218
SDR9C7	recessive	0.879	0.633	ENSG00000170426
SERPINB7	recessive	1.31	-0.532	ENSG00000166396
SLURP1	recessive	1.31	0.591	ENSG00000126233
SPINK5	recessive	0.93	0.278	ENSG00000133710
ST14	recessive	0.375	1.25	ENSG00000149418
SULT2B1	recessive	0.55	1.11	ENSG00000088002
ACVRL1	Dom	0.692	2.45	ENSG00000139567
EPHB4	Dom	0.422	2.3	ENSG00000196411
F12	Dom	0.775	0.924	ENSG00000131187
PIK3CA	Dom	0.117	5.6	ENSG00000121879
RASA1	Dom	0.129	3.1	ENSG00000145715
SCN9A	Dom	0.708	1.06	ENSG00000169432
SOX18	Dom	1.05	0.86	ENSG00000203883
SOX18	recessive	1.05	0.86	ENSG00000203883
CEP19	recessive	1.09	-0.136	ENSG00000174007
LEP	recessive	0.832	0.91	ENSG00000174697
LEPR	recessive	0.284	1.42	ENSG00000116678
MYT1L	Dom	0.087	4.77	ENSG00000186487
NTRK2	Dom	0.112	3.73	ENSG00000148053
PCSK1	recessive	0.73	1.47	ENSG00000175426
POMC	recessive	1.38	0.103	ENSG00000115138
BSCL2	recessive	1.01	0.26	ENSG00000168000
EIF2S3	recessive	0.322	3.61	ENSG00000130741
GCK	Dom	0.443	3.07	ENSG00000106633
GCK	recessive	0.443	3.07	ENSG00000106633
IER3IP1	recessive	1.41	-0.392	ENSG00000134049
IL2RA	recessive	0.658	0.362	ENSG00000134460
INS	Dom	1.17	0.9	ENSG00000254647
INS	recessive	1.17	0.9	ENSG00000254647
KCNJ11	Dom	1.21	1.65	ENSG00000187486
MNX1	recessive	0.5	0.731	ENSG00000130675
NEUROD1	recessive	0.514	0.233	ENSG00000162992
NEUROG3	recessive	1.9	-0.517	ENSG00000122859
NKX2-2	recessive	0.665	0.00371	ENSG00000125820
PDX1	recessive	1.05	-0.266	ENSG00000139515
AP2S1	Dom	0.502	2.86	ENSG00000042753
FGF23	recessive	1.28	0.398	ENSG00000118972
GALNT3	recessive	0.863	0.386	ENSG00000115339
ARMC5	Dom	0.491	1.71	ENSG00000140691
PDE11A	Dom	1.4	-0.00401	ENSG00000128655
PDE8B	Dom	0.249	3	ENSG00000113231
AKT2	Dom	0.417	2.41	ENSG00000105221
APPL1	Dom	0.35	0.716	ENSG00000157500
CEL	Dom	0.892	0.112	ENSG00000170835
DNAJC3	recessive	0.516	1.71	ENSG00000102580
DYRK1B	Dom	0.323	1.85	ENSG00000105204
HNF1A	Dom	0.33	1.14	ENSG00000135100
INSR	Dom	0.453	3.83	ENSG00000171105
INSR	recessive	0.453	3.83	ENSG00000171105
PLIN1	Dom	1.26	-0.93	ENSG00000166819
PPARG	Dom	0.635	2.12	ENSG00000132170
PPP1R15B	recessive	0.507	-1.35	ENSG00000158615
SLC29A3	recessive	1.32	-0.477	ENSG00000198246
ZMPSTE24	recessive	1.33	0.372	ENSG00000084073
ALG8	Dom	0.83	0.604	ENSG00000159063
DNAJB11	Dom	0.518	1.77	ENSG00000090520
GANAB	Dom	0.267	2.24	ENSG00000089597
PKD1	Dom	0.179	-4.32	ENSG00000008710
PKD2	Dom	0.497	0.272	ENSG00000118762
PRKCSH	Dom	0.762	0.532	ENSG00000130175
SEC63	Dom	0.57	2.2	ENSG00000025796
ALAD	recessive	0.868	1.23	ENSG00000148218
ALAS2	recessive	0.184	2.37	ENSG00000158578
FECH	recessive	0.616	1.34	ENSG00000066926
HMBS	Dom	0.343	0.643	ENSG00000256269
PPOX	Dom	0.573	0.975	ENSG00000143224
PPOX	recessive	0.573	0.975	ENSG00000143224
UROD	Dom	1.13	1.11	ENSG00000126088
UROD	recessive	1.13	1.11	ENSG00000126088
GNE	Dom	1.16	2.59	ENSG00000159921
ADAMTS13	recessive	0.683	1.56	ENSG00000160323
F2	Dom	0.536	2.11	ENSG00000180210
F5	Dom	0.562	0.462	ENSG00000198734
FGA	Dom	1.02	-0.67	ENSG00000171560
FGA	recessive	1.02	-0.67	ENSG00000171560
FGB	Dom	0.432	0.732	ENSG00000171564
FGB	recessive	0.432	0.732	ENSG00000171564
FGG	Dom	0.536	1.2	ENSG00000171557
FGG	recessive	0.536	1.2	ENSG00000171557
HRG	Dom	1.5	-0.374	ENSG00000113905
PROC	Dom	0.864	0.883	ENSG00000115718
PROC	recessive	0.864	0.883	ENSG00000115718
PROS1	Dom	0.572	0.585	ENSG00000184500
PROS1	recessive	0.572	0.585	ENSG00000184500
SERPINC1	Dom	0.151	1.36	ENSG00000117601
SERPINC1	recessive	0.151	1.36	ENSG00000117601
SERPIND1	Dom	1.5	-0.0568	ENSG00000099937
THBD	Dom	0.791	0.602	ENSG00000178726
LMAN1	recessive	0.546	0.0627	ENSG00000074695
MCFD2	recessive	1.28	-0.575	ENSG00000180398
EGLN1	Dom	0.303	2.15	ENSG00000135766
EPAS1	Dom	0.381	-0.154	ENSG00000116016
EPO	Dom	0.896	0.559	ENSG00000130427
EPOR	Dom	0.652	1.14	ENSG00000187266
HBA1	Dom	1.85	1.53	ENSG00000206172
HBA2	Dom	1.93	1.18	ENSG00000188536
HBB	Dom	1.98	-0.211	ENSG00000244734
VHL	recessive	0.927	-0.395	ENSG00000134086
JAK2	Dom	0.341	0.896	ENSG00000096968
MPL	Dom	0.763	0.395	ENSG00000117400
THPO	Dom	0.701	0.411	ENSG00000090534
ENO3	recessive	1.69	-0.925	ENSG00000108515
GBE1	recessive	0.972	0.0919	ENSG00000114480
GYG1	recessive	1.41	0.0645	ENSG00000163754
GYS1	recessive	0.527	1.84	ENSG00000104812
GYS2	recessive	1.13	0.138	ENSG00000111713
LDHA	recessive	0.631	1.58	ENSG00000134333
PFKM	recessive	0.972	2.36	ENSG00000152556
PGAM2	recessive	1.77	-0.667	ENSG00000164708
PHKA1	recessive	0.547	1.88	ENSG00000067177
PHKA2	recessive	0.373	1.82	ENSG00000044446
PHKB	recessive	0.837	0.299	ENSG00000102893
PHKG2	recessive	0.657	0.449	ENSG00000156873
PYGM	recessive	0.874	0.0469	ENSG00000068976
ECHS1	recessive	0.956	0.863	ENSG00000127884
FBXL4	recessive	0.918	0.555	ENSG00000112234
GLRX5	recessive	0.661	0.216	ENSG00000182512
IBA57	recessive	0.957	-0.572	ENSG00000181873
ISCA1	recessive	0.994	0.784	ENSG00000135070
ISCA2	recessive	1.91	0.384	ENSG00000165898
LIAS	recessive	0.844	1.25	ENSG00000121897
LIPT1	recessive	1.71	0.34	ENSG00000144182
LIPT2	recessive	0.944	-0.12	ENSG00000175536
PDHB	recessive	0.553	1.57	ENSG00000168291
PDP1	recessive	0.49	1.62	ENSG00000164951
SLC25A26	recessive	1.24	-0.391	ENSG00000144741
TPK1	recessive	0.7	0.342	ENSG00000196511
ATP7B	recessive	1.19	-0.881	ENSG00000123191
CYBRD1	recessive	0.891	0.589	ENSG00000071967
HAMP	recessive	1.81	0.151	ENSG00000105697
HFE	recessive	1.19	0.633	ENSG00000010704
SLC11A2	recessive	0.526	2.23	ENSG00000110911
SLC40A1	Dom	0.291	1.92	ENSG00000138449
TF	recessive	0.753	1.46	ENSG00000091513
TFR2	recessive	0.767	1.15	ENSG00000106327
APOA5	Dom	1.6	0.861	ENSG00000110243
APOB	Dom	0.461	-1.7	ENSG00000084674
APOB	recessive	0.461	-1.7	ENSG00000084674
APOC2	recessive	0.936	0.329	ENSG00000234906
APOE	Dom	1.03	0.74	ENSG00000130203
APOE	recessive	1.03	0.74	ENSG00000130203
CREB3L3	Dom	1.47	0.249	ENSG00000060566
GPD1	recessive	0.834	0.167	ENSG00000167588
GPIHBP1	recessive	1.1	0.0445	ENSG00000182851
LMF1	recessive	1.27	-1.79	ENSG00000103227
LPL	Dom	1.1	-0.503	ENSG00000175445
LPL	recessive	1.1	-0.503	ENSG00000175445
ATP13A2	recessive	0.584	1.4	ENSG00000159363
CTSF	recessive	1.2	0.744	ENSG00000174080
DNAJC5	Dom	0.48	1.79	ENSG00000101152
ABCD1	recessive	0.15	1.87	ENSG00000101986
ALS2	recessive	0.516	1.9	ENSG00000003393
ANG	Dom	1.89	0.0777	ENSG00000214274
ANXA11	Dom	0.98	-0.249	ENSG00000122359
APP	Dom	0.419	1.39	ENSG00000142192
ATP1A3	Dom	0.062	6.33	ENSG00000105409
CACNA1G	Dom	0.211	4.64	ENSG00000006283
CHCHD10	Dom	1.91	0.825	ENSG00000250479
CHCHD2	Dom	1.9	0.121	ENSG00000106153
CLCN2	Dom	0.769	0.654	ENSG00000114859
CLCN2	recessive	0.769	0.654	ENSG00000114859
COASY	recessive	1.03	0.109	ENSG00000068120
CP	recessive	0.646	0.223	ENSG00000047457
CSF1R	Dom	0.393	1.57	ENSG00000182578
CYP7B1	recessive	0.932	-0.395	ENSG00000172817
DARS2	recessive	0.915	1.19	ENSG00000117593
DCTN1	Dom	0.364	0.892	ENSG00000204843
DNAJC6	recessive	0.222	1.6	ENSG00000116675
EIF2B1	recessive	0.976	1.38	ENSG00000111361
EIF2B3	recessive	0.432	1.04	ENSG00000070785
ELOVL4	Dom	0.407	1.19	ENSG00000118402
EPM2A	recessive	1.34	-0.26	ENSG00000112425
FIG4	Dom	1.24	1.88	ENSG00000112367
GRN	Dom	0.483	0.275	ENSG00000030582
HNRNPA1	Dom	0.147	2.82	ENSG00000135486
HTRA1	recessive	0.752	1.05	ENSG00000166033
ITM2B	Dom	0.536	1.04	ENSG00000136156
KCND3	Dom	0.279	3.85	ENSG00000171385
KIF5A	Dom	0.228	3.6	ENSG00000155980
NHLRC1	recessive	0.878	0.495	ENSG00000187566
NOTCH3	Dom	0.322	3.53	ENSG00000074181
OPTN	recessive	1.26	0.622	ENSG00000123240
PANK2	recessive	0.967	0.179	ENSG00000125779
PARK7	recessive	0.529	0.165	ENSG00000116288
PFN1	Dom	0.686	1.95	ENSG00000108518
PLA2G6	recessive	0.862	1.21	ENSG00000184381
PSEN1	Dom	0.318	2.16	ENSG00000080815
PSEN2	Dom	0.744	0.404	ENSG00000143801
SOD1	Dom	0.978	0.838	ENSG00000142168
SPAST	Dom	0.224	1.24	ENSG00000021574
SYNJ1	recessive	0.33	2.25	ENSG00000159082
TARDBP	Dom	0.275	3.71	ENSG00000120948
TBK1	Dom	0.42	1.93	ENSG00000183735
TMEM240	Dom	0.87	1.55	ENSG00000205090
TREM2	recessive	1.79	0.245	ENSG00000095970
TYROBP	recessive	0.92	-0.324	ENSG00000011600
UBQLN2	recessive	0.448	1.5	ENSG00000188021
VAPB	Dom	0.559	1.25	ENSG00000124164
VCP	Dom	0.127	5.41	ENSG00000165280
VPS35	Dom	0.313	3.53	ENSG00000069329
AGRN	recessive	0.435	0.226	ENSG00000188157
ALG14	recessive	1.2	0.266	ENSG00000172339
ALG2	recessive	1.18	-0.079	ENSG00000119523
CHAT	recessive	0.883	0.296	ENSG00000070748
CHRNA1	Dom	1.08	0.722	ENSG00000138435
CHRNB1	Dom	0.996	0.438	ENSG00000170175
CHRNB1	recessive	0.996	0.438	ENSG00000170175
CHRND	Dom	0.978	0.054	ENSG00000135902
CHRND	recessive	0.978	0.054	ENSG00000135902
CHRNE	Dom	0.99	-0.85	ENSG00000108556
COL13A1	recessive	0.753	0.77	ENSG00000197467
COLQ	recessive	1.1	-0.219	ENSG00000206561
DOK7	recessive	0.934	-2.55	ENSG00000175920
GFPT1	recessive	0.338	4.35	ENSG00000198380
MUSK	recessive	0.698	1.09	ENSG00000030304
MYO9A	recessive	0.304	1.74	ENSG00000066933
SCN4A	recessive	0.378	1.56	ENSG00000007314
SLC18A3	recessive	0.636	0.145	ENSG00000187714
SLC25A1	recessive	0.649	1.24	ENSG00000100075
SLC5A7	recessive	0.562	2.81	ENSG00000115665
SYT2	Dom	0.287	1.98	ENSG00000143858
VAMP1	recessive	1.15	1.23	ENSG00000139190
AP1S2	recessive	0.454	2.01	ENSG00000182287
COL4A1	Dom	0.128	3.02	ENSG00000187498
DENND5A	recessive	0.376	2.38	ENSG00000184014
EML1	recessive	0.28	2.45	ENSG00000066629
FANCB	recessive	0.227	-0.0417	ENSG00000181544
KIAA1109	recessive	0.41	6	ENSG00000138688
OSTM1	recessive	0.737	1.09	ENSG00000081087
PLG	recessive	0.443	0.213	ENSG00000122194
POMGNT2	recessive	1.01	0.955	ENSG00000144647
POMK	recessive	1.57	0.469	ENSG00000185900
RNF125	Dom	1.28	0.783	ENSG00000101695
RPS6KA3	recessive	0.087	4.52	ENSG00000177189
STRADA	recessive	0.796	1.49	ENSG00000266173
CCM2	Dom	0.66	0.518	ENSG00000136280
ENG	Dom	0.24	0.935	ENSG00000106991
KRIT1	Dom	0.499	1.43	ENSG00000001631
PDCD10	Dom	0.325	1.43	ENSG00000114209
RNF213	Dom	0.656	2.3	ENSG00000173821
RNF213	recessive	0.656	2.3	ENSG00000173821
YY1AP1	recessive	1.31	-1.18	ENSG00000163374
AFG3L2	Dom	0.7	1.99	ENSG00000141385
AFG3L2	recessive	0.7	1.99	ENSG00000141385
ANO3	Dom	0.766	2.46	ENSG00000134343
ATP1A2	Dom	0.495	4.77	ENSG00000018625
C19orf12	Dom	1.06	0.39	ENSG00000131943
C19orf12	recessive	1.06	0.39	ENSG00000131943
CACNA1A	Dom	0.134	5.78	ENSG00000141837
CHMP2B	Dom	1.22	0.339	ENSG00000083937
DCAF17	recessive	0.82	0.816	ENSG00000115827
FBXO7	recessive	0.877	-0.44	ENSG00000100225
GBA	Dom	0.801	1.17	ENSG00000177628
GNAL	Dom	0.206	3.34	ENSG00000141404
HPCA	recessive	0.594	2.2	ENSG00000121905
KMT2B	Dom	0.07	3.43	ENSG00000272333
LRRK2	Dom	0.64	1.26	ENSG00000188906
MAPT	Dom	0.569	1.52	ENSG00000186868
PDE10A	Dom	0.213	3.76	ENSG00000112541
PDE10A	recessive	0.213	3.76	ENSG00000112541
PDGFB	Dom	0.463	1.08	ENSG00000100311
PINK1	recessive	1.14	0.129	ENSG00000158828
PNKD	Dom	1.14	0.323	ENSG00000127838
PRKRA	recessive	0.558	1.58	ENSG00000180228
PRNP	Dom	1.3	1.18	ENSG00000171867
RNF216	recessive	0.551	-1.23	ENSG00000011275
SGCE	Dom	0.537	1.05	ENSG00000127990
SLC20A2	Dom	0.326	2.63	ENSG00000168575
SLC30A10	recessive	0.251	1.58	ENSG00000196660
SNCA	Dom	0.429	0.46	ENSG00000145335
THAP1	Dom	0.489	1.37	ENSG00000131931
TUBB4A	Dom	0.674	4.26	ENSG00000104833
WDR45	recessive	0.21	2.02	ENSG00000196998
XPR1	Dom	0.156	3.23	ENSG00000143324
AR	recessive	0.291	1.23	ENSG00000169083
BICD2	Dom	0.305	2.21	ENSG00000185963
TRIP4	recessive	0.668	0.569	ENSG00000103671
UBA1	recessive	0.108	3.48	ENSG00000130985
EFNB1	recessive	0.349	1.59	ENSG00000090776
TNFRSF11A	recessive	0.597	1.29	ENSG00000141655
TNFSF11	recessive	0.853	0.929	ENSG00000120659
SOST	recessive	0.453	0.835	ENSG00000167941
SNX10	recessive	1.66	0.547	ENSG00000086300
CLCN7	Dom	0.394	2.11	ENSG00000103249
FERMT3	recessive	0.562	1.51	ENSG00000149781
RASGRP2	recessive	0.447	1.48	ENSG00000068831
SLCO2A1	recessive	1.05	0.518	ENSG00000174640
ATP2A1	recessive	0.833	1.54	ENSG00000196296
CACNA1S	Dom	0.521	-0.111	ENSG00000081248
CACNA1S	recessive	0.521	-0.111	ENSG00000081248
CLCN1	Dom	0.994	0.212	ENSG00000188037
CLCN1	recessive	0.994	0.212	ENSG00000188037
KCNA1	Dom	0.73	3.33	ENSG00000111262
KCNJ2	Dom	0.615	2.75	ENSG00000123700
RYR1	Dom	0.456	1.92	ENSG00000196218
KIF21A	Dom	0.456	2.65	ENSG00000139116
PHOX2A	recessive	0.796	1.6	ENSG00000165462
COL9A3	recessive	0.746	-0.382	ENSG00000092758
COL4A3	Dom	0.522	1.99	ENSG00000169031
COL4A4	Dom	0.616	1.02	ENSG00000081052
ABCA3	recessive	0.501	0.323	ENSG00000167972
SFTPB	recessive	0.72	0.597	ENSG00000168878
SFTPC	Dom	1.25	0.849	ENSG00000168484
SERPINA1	recessive	1.63	-0.373	ENSG00000197249
ALDH18A1	recessive	0.519	1.97	ENSG00000059573
ATP6V1A	recessive	0.358	3.37	ENSG00000114573
BGN	recessive	0.637	0.714	ENSG00000182492
C1S	Dom	0.596	0.559	ENSG00000182326
COL12A1	Dom	0.282	2.11	ENSG00000111799
COL5A2	Dom	0.097	2.44	ENSG00000204262
COL6A1	Dom	0.227	0.501	ENSG00000142156
COL6A1	recessive	0.227	0.501	ENSG00000142156
COL6A2	Dom	0.578	-1.15	ENSG00000142173
COL6A2	recessive	0.578	-1.15	ENSG00000142173
COL6A3	Dom	0.562	-0.606	ENSG00000163359
FBLN5	Dom	0.172	1.56	ENSG00000140092
SMAD2	Dom	0.259	3.66	ENSG00000175387
FARSB	recessive	0.558	1.16	ENSG00000116120
JAM2	recessive	0.698	1.08	ENSG00000154721
NRROS	recessive	0.531	0.892	ENSG00000174004
OCLN	recessive	0.951	0.322	ENSG00000197822
USP18	recessive	0.742	0.841	ENSG00000184979
BEST1	Dom	1.49	0.617	ENSG00000167995
PRSS1	Dom	1.86	-2.01	ENSG00000204983
SPINK1	Dom	1.13	-0.123	ENSG00000164266
ACADS	recessive	0.95	0.584	ENSG00000122971
ACADSB	recessive	1.17	-0.0697	ENSG00000196177
CPT1A	recessive	0.661	1.64	ENSG00000110090
GLUD1	recessive	0.612	3.06	ENSG00000148672
HADHB	recessive	1.04	0.649	ENSG00000138029
LPIN1	recessive	0.727	0.869	ENSG00000134324
NADK2	recessive	0.52	2.05	ENSG00000152620
AIRE	Dom	1.12	-0.00206	ENSG00000160224
DGAT1	recessive	1.22	1.04	ENSG00000185000
LCT	recessive	0.358	3.16	ENSG00000115850
MTTP	recessive	0.587	1.03	ENSG00000138823
PLVAP	recessive	0.972	0.549	ENSG00000130300
SAR1B	recessive	0.989	0.814	ENSG00000152700
SI	recessive	1.04	-1.08	ENSG00000090402
SLC26A3	recessive	0.955	0.404	ENSG00000091138
SLC5A1	recessive	0.771	1.83	ENSG00000100170
SLC7A7	recessive	0.959	0.485	ENSG00000155465
SLC9A3	recessive	0.31	2.49	ENSG00000066230
SPINT2	recessive	0.983	0.997	ENSG00000167642
TMPRSS15	recessive	1.15	-0.86	ENSG00000154646
WNT2B	recessive	0.611	1.51	ENSG00000134245
CPAMD8	recessive	0.674	0.167	ENSG00000160111
CYP1B1	Dom	1.18	-0.748	ENSG00000138061
LAMB2	recessive	0.655	0.775	ENSG00000172037
PXDN	recessive	0.523	2.21	ENSG00000130508
SYT2	recessive	0.287	1.98	ENSG00000143858
ALG1	recessive	1.5	-2.05	ENSG00000033011
ALG11	recessive	1.33	-0.0471	ENSG00000253710
ALG3	recessive	1.19	-0.317	ENSG00000214160
ALG8	recessive	0.83	0.604	ENSG00000159063
ALG9	recessive	0.653	1.01	ENSG00000086848
ATP6AP1	recessive	0.213	1.53	ENSG00000071553
ATP6AP2	recessive	0.429	1.66	ENSG00000182220
CCDC115	recessive	1.78	0.109	ENSG00000136710
COG1	recessive	0.649	-0.181	ENSG00000166685
COG4	recessive	0.713	-0.282	ENSG00000103051
COG5	recessive	0.965	-0.483	ENSG00000164597
COG6	recessive	1.02	-0.184	ENSG00000133103
COG7	recessive	0.661	0.757	ENSG00000168434
COG8	recessive	1.13	-0.0937	ENSG00000213380
DPM2	recessive	1.12	0.604	ENSG00000136908
FUT8	recessive	0.509	2.2	ENSG00000033170
GALNT2	recessive	0.488	2	ENSG00000143641
MAN1B1	recessive	0.83	-0.726	ENSG00000177239
PIGB	recessive	1.06	0.595	ENSG00000069943
PIGK	recessive	0.774	0.553	ENSG00000142892
PIGP	recessive	1.37	-0.558	ENSG00000185808
PIGS	recessive	0.769	0.78	ENSG00000087111
PIGU	recessive	0.865	0.721	ENSG00000101464
PIGW	recessive	1.08	0.0483	ENSG00000184886
ALDH1A3	recessive	0.511	2.24	ENSG00000184254
PUF60	Dom	0.245	4.44	ENSG00000179950
RARB	recessive	0.12	2.87	ENSG00000077092
RBP4	Dom	0.594	0.775	ENSG00000138207
SIX6	recessive	0.595	0.714	ENSG00000184302
TENM3	recessive	0.264	3.3	ENSG00000218336
TMEM98	Dom	0.886	0.728	ENSG00000006042
ATF6	recessive	0.698	0.557	ENSG00000118217
CNGA3	recessive	1.49	-0.0368	ENSG00000144191
CNGB3	recessive	1.02	-1.18	ENSG00000170289
GNAT2	recessive	0.981	0.663	ENSG00000134183
RGS9	recessive	0.847	0.0381	ENSG00000108370
RGS9BP	recessive	1.76	0.675	ENSG00000186326
ACAD8	recessive	1.27	0.222	ENSG00000151498
ACSF3	recessive	1.77	-1.3	ENSG00000176715
ACTN1	Dom	0.213	3.36	ENSG00000072110
ALK	Dom	0.448	0.0103	ENSG00000171094
AP3B1	recessive	0.344	0.89	ENSG00000132842
ARL13B	recessive	1.04	-0.0592	ENSG00000169379
ARPC1B	recessive	0.645	1.18	ENSG00000130429
BCKDK	recessive	0.867	1.64	ENSG00000103507
BMPR2	Dom	0.191	2.06	ENSG00000204217
CD79B	recessive	0.384	1.31	ENSG00000007312
CDH1	Dom	0.43	0.706	ENSG00000039068
CDK4	Dom	0.642	1.49	ENSG00000135446
CDKL5	recessive	0.226	2.74	ENSG00000008086
DICER1	Dom	0.166	4.23	ENSG00000100697
DNAJC12	recessive	1.34	0.0635	ENSG00000108176
